1215,"Anna University, Chennai (Id: U-0439)",Kumaraguru college of Technology (Id: C-36926),Affiliated College,Tamil Nadu,Coimbatore
1218,"Anna University, Chennai (Id: U-0439)",KV Institute of Management and Information Studies (Id: C-36946),Affiliated College,Tamil Nadu,Coimbatore
1239,"Anna University, Chennai (Id: U-0439)",Maharaja Institute of Technology (Id: C-37007),Affiliated College,Tamil Nadu,Coimbatore
1290,"Anna University, Chennai (Id: U-0439)",Nehru Institute of Engineering and Technology (Id: C-37025),Affiliated College,Tamil Nadu,Coimbatore
1291,"Anna University, Chennai (Id: U-0439)",Nehru Institute of Information Technology and Management (Id: C-37037),Affiliated College,Tamil Nadu,Coimbatore
1292,"Anna University, Chennai (Id: U-0439)",Nehru Institute of Management Studies (Id: C-36962),Affiliated College,Tamil Nadu,Coimbatore
1294,"Anna University, Chennai (Id: U-0439)",NIGHTINGALE INSTITUTE OF TECHNOLOGY (Id: C-48258),Affiliated College,Tamil Nadu,Coimbatore
1296,"Anna University, Chennai (Id: U-0439)","N.R. SCHOOL OF ARCHITECTURE, COIMBATORE (Id: C-45286)",Affiliated College,Tamil Nadu,Coimbatore
1306,"Anna University, Chennai (Id: U-0439)",P.A.College of Engineering and Technology (Id: C-37041),Affiliated College,Tamil Nadu,Coimbatore
1314,"Anna University, Chennai (Id: U-0439)",Park College of Engineering and Technology (Id: C-37015),Affiliated College,Tamil Nadu,Coimbatore
1315,"Anna University, Chennai (Id: U-0439)",Park College of Technology (Id: C-37049),Affiliated College,Tamil Nadu,Coimbatore
1325,"Anna University, Chennai (Id: U-0439)",POLLACHI INSTITUTE OF ENGINEERING AND TECHNOLOGY (Id: C-48259),Affiliated College,Tamil Nadu,Coimbatore
1328,"Anna University, Chennai (Id: U-0439)",PPG Business School (Id: C-37014),Affiliated College,Tamil Nadu,Coimbatore
1329,"Anna University, Chennai (Id: U-0439)",PPG Institute of Technology (Id: C-37043),Affiliated College,Tamil Nadu,Coimbatore
1330,"Anna University, Chennai (Id: U-0439)",Prahar School of Architecture (Id: C-37072),Affiliated College,Tamil Nadu,Coimbatore
1338,"Anna University, Chennai (Id: U-0439)",PSG College of Technology (Id: C-37013),Affiliated College,Tamil Nadu,Coimbatore
1353,"Anna University, Chennai (Id: U-0439)",Ranganathan Architecture College (Id: C-37093),Affiliated College,Tamil Nadu,Coimbatore
1354,"Anna University, Chennai (Id: U-0439)",Ranganathan Engineering College (Id: C-36972),Affiliated College,Tamil Nadu,Coimbatore
1356,"Anna University, Chennai (Id: U-0439)","RATHINAM TECHNICAL CAMPUS, COIMBATORE (Id: C-45287)",Affiliated College,Tamil Nadu,Coimbatore
1367,"Anna University, Chennai (Id: U-0439)",RVS College of Computer Application (Id: C-36973),Affiliated College,Tamil Nadu,Coimbatore
1368,"Anna University, Chennai (Id: U-0439)",RVS College of Engineering and Technology (Id: C-36938),Affiliated College,Tamil Nadu,Coimbatore
1370,"Anna University, Chennai (Id: U-0439)",RVS Educational Trust's Group of Institutions (Id: C-37001),Affiliated College,Tamil Nadu,Coimbatore
1371,"Anna University, Chennai (Id: U-0439)",RVS Institute of Management Studies (Id: C-37086),Affiliated College,Tamil Nadu,Coimbatore
1375,"Anna University, Chennai (Id: U-0439)",R.V.S. School of Architecture (Id: C-37082),Affiliated College,Tamil Nadu,Coimbatore
1383,"Anna University, Chennai (Id: U-0439)",Sakthi Institute of Information and Management Studies (Id: C-37067),Affiliated College,Tamil Nadu,Coimbatore
1387,"Anna University, Chennai (Id: U-0439)",SAN International Business School (Id: C-37102),Affiliated College,Tamil Nadu,Coimbatore
1388,"Anna University, Chennai (Id: U-0439)",SAN International Info School (Id: C-37081),Affiliated College,Tamil Nadu,Coimbatore
1394,"Anna University, Chennai (Id: U-0439)",SASI CREATIVE SCHOOL OF ARCHITECTURE (Id: C-48260),Affiliated College,Tamil Nadu,Coimbatore
1395,"Anna University, Chennai (Id: U-0439)",Sasi Creative School of Business (Id: C-37066),Affiliated College,Tamil Nadu,Coimbatore
1396,"Anna University, Chennai (Id: U-0439)",Sasurie Academy of Engineering (Id: C-36977),Affiliated College,Tamil Nadu,Coimbatore
1403,"Anna University, Chennai (Id: U-0439)",SCAD INSTITUTE OF TECHNOLOGY (Id: C-48261),Affiliated College,Tamil Nadu,Coimbatore
1430,"Anna University, Chennai (Id: U-0439)",SNS College of Engineering (Id: C-37036),Affiliated College,Tamil Nadu,Coimbatore
1431,"Anna University, Chennai (Id: U-0439)",SNS College of Technology (Id: C-36947),Affiliated College,Tamil Nadu,Coimbatore
1432,"Anna University, Chennai (Id: U-0439)",SNT Global Academy of Management Studies and Technology (Id: C-36964),Affiliated College,Tamil Nadu,Coimbatore
1435,"Anna University, Chennai (Id: U-0439)",Sree Narayana Guru Institute of Management Studies (Id: C-37085),Affiliated College,Tamil Nadu,Coimbatore
1436,"Anna University, Chennai (Id: U-0439)",Sree Sakthi Engineering College (Id: C-36956),Affiliated College,Tamil Nadu,Coimbatore
1445,"Anna University, Chennai (Id: U-0439)",Sri Eshwar College of Engineering (Id: C-37057),Affiliated College,Tamil Nadu,Coimbatore
1447,"Anna University, Chennai (Id: U-0439)",Sriguru Institute Of Technology (Id: C-36994),Affiliated College,Tamil Nadu,Coimbatore
1449,"Anna University, Chennai (Id: U-0439)",Sri Krishna College of Engineering and Technology (Id: C-36995),Affiliated College,Tamil Nadu,Coimbatore
1450,"Anna University, Chennai (Id: U-0439)",Sri Krishna College of Technology (Id: C-37064),Affiliated College,Tamil Nadu,Coimbatore
1452,"Anna University, Chennai (Id: U-0439)",Sri Krishna Institute of Management (Id: C-37008),Affiliated College,Tamil Nadu,Coimbatore
1461,"Anna University, Chennai (Id: U-0439)",Sri Ramakrishna Engineering College (Id: C-37089),Affiliated College,Tamil Nadu,Coimbatore
1462,"Anna University, Chennai (Id: U-0439)",Sri Ramakrishna Institute of Technology (Id: C-37032),Affiliated College,Tamil Nadu,Coimbatore
1467,"Anna University, Chennai (Id: U-0439)","SRI RANGANATHAR INSTITUTE OF ENGINEERING AND TECHNOLOGY, COIMBATORE (Id: C-45288)",Affiliated College,Tamil Nadu,Coimbatore
1471,"Anna University, Chennai (Id: U-0439)",Sri Shakthi Institute of Engineering and Technology (Id: C-37080),Affiliated College,Tamil Nadu,Coimbatore
1477,"Anna University, Chennai (Id: U-0439)",Sri Venkateswara College of Computer Applications and Management (Id: C-37100),Affiliated College,Tamil Nadu,Coimbatore
1480,"Anna University, Chennai (Id: U-0439)",Sri Venkateswara Institute of Information Technology and Management (Id: C-37024),Affiliated College,Tamil Nadu,Coimbatore
1499,"Anna University, Chennai (Id: U-0439)",SUGUNA COLLEGE OF ENGINEERING (Id: C-48263),Affiliated College,Tamil Nadu,Coimbatore
1506,"Anna University, Chennai (Id: U-0439)",SVS College Of Engineering (Id: C-37084),Affiliated College,Tamil Nadu,Coimbatore
